epoch,acc,fbeta_score,loss,precision,recall,val_acc,val_fbeta_score,val_loss,val_precision,val_recall
0,0.5485294,0.0,0.684008697902455,0.0,0.0,0.5345455,0.0,0.6858665830438787,0.0,0.0
1,0.5482353,0.0,0.6827498926835902,0.0,0.0,0.53636366,0.016071424,0.6845333305272189,0.05714285,0.004166667
2,0.5529412,0.04461164,0.6801251885470222,0.08293279,0.019886496,0.6027273,0.5304768,0.6838747856833718,0.6777736,0.3037747
3,0.5658823,0.18445359,0.6776089687908396,0.36622733,0.078257784,0.54545456,0.15120415,0.67815190597014,0.38809523,0.04805666
4,0.5826471,0.3353424,0.6731247150196749,0.5052637,0.19778416,0.61454546,0.58225596,0.6767613586512479,0.57930577,0.6281413
5,0.59117645,0.45960137,0.6689862001643462,0.6018269,0.32458946,0.6118182,0.58201945,0.6721189162947915,0.57913464,0.62421715
6,0.6052941,0.5103097,0.6636117254986482,0.6233981,0.38556394,0.57363635,0.3974686,0.677518934986808,0.66598636,0.16977888
7,0.5997059,0.5119791,0.6621355251003714,0.61153764,0.4034582,0.54636365,0.12783527,0.7482938729632984,0.39999998,0.03711739
8,0.6064706,0.5161398,0.6621820031895357,0.5976269,0.40769717,0.6,0.5277479,0.6665622379563072,0.685,0.30298507
9,0.6135294,0.5302241,0.6541966896898607,0.60695344,0.41704166,0.59181815,0.50502634,0.6686325682293285,0.6259822,0.30538177
10,0.6144118,0.5452519,0.6549391642738791,0.6180083,0.43954888,0.60545456,0.53018034,0.6633796644210815,0.63498455,0.34899154
11,0.61588234,0.53371364,0.6556975140291101,0.6069291,0.4468287,0.6118182,0.57430845,0.6578661118854175,0.59780663,0.52568597
12,0.61970586,0.56024265,0.655735855663524,0.62098926,0.45909917,0.61545455,0.5525851,0.6573889914425937,0.5780496,0.49444568
13,0.6282353,0.57405007,0.6529157007441801,0.6302097,0.4698464,0.6227273,0.5896131,0.6576560618660666,0.5958319,0.5924988
14,0.6182353,0.5585719,0.6541264343261719,0.6120589,0.47477147,0.6036364,0.5288636,0.6645768893848766,0.69239235,0.30102405
15,0.6211765,0.5512743,0.6524317756821127,0.6064853,0.45211178,0.61636364,0.5789808,0.6556683141534979,0.6052772,0.52031076
16,0.6317647,0.5747844,0.6505879261914421,0.62927544,0.4783803,0.58272725,0.429673,0.6894114548509771,0.68714285,0.19632715
17,0.6267647,0.5675375,0.6475122970693251,0.6326024,0.45973206,0.6227273,0.58291763,0.6529139078747143,0.6272316,0.48522082
18,0.63235295,0.5733143,0.6488397887173821,0.6181046,0.48685843,0.59363633,0.47309223,0.6839888182553377,0.6636735,0.23389386
19,0.6364706,0.5854461,0.6468437695503235,0.6480134,0.47835076,0.6181818,0.57785046,0.6530405941876498,0.62416834,0.48677707
